,year,month,polarity_score,date
0,2011,12,0.13713999999999998,2011-12-01
1,2012,1,0.12658677966101695,2012-01-01
2,2012,2,0.12925090909090908,2012-02-01
3,2012,3,0.12352871794871795,2012-03-01
4,2012,4,0.0585176072234763,2012-04-01
5,2012,5,0.12894587155963302,2012-05-01
6,2012,6,0.09742958715596331,2012-06-01
7,2012,7,0.061609601873536306,2012-07-01
8,2012,8,0.11834577777777779,2012-08-01
9,2012,9,0.15387759336099585,2012-09-01
10,2012,10,0.10593245436105476,2012-10-01
11,2012,11,0.13869757174392935,2012-11-01
12,2012,12,0.10033912087912088,2012-12-01
13,2013,1,0.0737222003929273,2013-01-01
14,2013,2,0.09848316008316009,2013-02-01
15,2013,3,0.06361336032388665,2013-03-01
16,2013,4,0.125503073286052,2013-04-01
17,2013,5,0.07742326043737574,2013-05-01
18,2013,6,0.11449647749510763,2013-06-01
19,2013,7,0.08525429769392033,2013-07-01
20,2013,8,0.0932581052631579,2013-08-01
21,2013,9,0.10153074003795066,2013-09-01
22,2013,10,0.10767883817427386,2013-10-01
23,2013,11,0.10154834307992203,2013-11-01
24,2013,12,0.0768746212121212,2013-12-01
25,2014,1,0.11216192307692308,2014-01-01
26,2014,2,0.08945515267175572,2014-02-01
27,2014,3,0.10555289575289575,2014-03-01
28,2014,4,0.07315964912280702,2014-04-01
29,2014,5,0.10236141078838175,2014-05-01
30,2014,6,0.046105622489959835,2014-06-01
31,2014,7,0.021926968503937008,2014-07-01
32,2014,8,0.07824638783269962,2014-08-01
33,2014,9,0.031570600000000004,2014-09-01
34,2014,10,0.009595748987854254,2014-10-01
35,2014,11,0.051890380761523046,2014-11-01
36,2014,12,0.06767161904761905,2014-12-01
37,2015,1,0.044199569892473124,2015-01-01
38,2015,2,0.06400543933054394,2015-02-01
39,2015,3,0.05372118811881188,2015-03-01
40,2015,4,0.06108760162601626,2015-04-01
41,2015,5,0.035535887096774195,2015-05-01
42,2015,6,0.02652857142857143,2015-06-01
43,2015,7,0.014729317269076303,2015-07-01
44,2015,8,0.048512090163934436,2015-08-01
45,2015,9,0.07783865546218488,2015-09-01
46,2015,10,0.009224603174603175,2015-10-01
47,2015,11,0.086258215010142,2015-11-01
48,2015,12,0.05071624266144814,2015-12-01
49,2016,1,0.038683073929961086,2016-01-01
50,2016,2,0.0767248447204969,2016-02-01
51,2016,3,0.04250140845070423,2016-03-01
52,2016,4,0.08106456211812628,2016-04-01
53,2016,5,0.06130619834710744,2016-05-01
54,2016,6,0.06019272349272349,2016-06-01
55,2016,7,0.07736306695464362,2016-07-01
56,2016,8,0.03653901437371663,2016-08-01
57,2016,9,0.04294153225806451,2016-09-01
58,2016,10,0.05685787401574803,2016-10-01
59,2016,11,0.08145634920634921,2016-11-01
60,2016,12,0.0360744939271255,2016-12-01
61,2017,1,0.030148952380952384,2017-01-01
62,2017,2,0.0625600782778865,2017-02-01
63,2017,3,0.020291480730223126,2017-03-01
64,2017,4,0.07228343558282209,2017-04-01
65,2017,5,0.06967137254901962,2017-05-01
66,2017,6,0.048382651072124756,2017-06-01
67,2017,7,0.04917796610169492,2017-07-01
68,2017,8,0.03139,2017-08-01
69,2017,9,0.06057058823529412,2017-09-01
70,2017,10,0.0789327659574468,2017-10-01
71,2017,11,0.053992504930966474,2017-11-01
72,2017,12,0.10239303675048356,2017-12-01
73,2018,1,0.06825737704918033,2018-01-01
74,2018,2,0.022453740157480313,2018-02-01
75,2018,3,-0.006903769841269839,2018-03-01
76,2018,4,0.06775276679841896,2018-04-01
77,2018,5,0.04633646616541354,2018-05-01
78,2018,6,0.06916058823529413,2018-06-01
79,2018,7,0.11362730696798494,2018-07-01
80,2018,8,0.09931718426501035,2018-08-01
81,2018,9,0.12329649446494466,2018-09-01
82,2018,10,0.12839678714859437,2018-10-01
83,2018,11,0.051665325670498086,2018-11-01
84,2018,12,0.027314559386973178,2018-12-01
85,2019,1,0.05503859315589353,2019-01-01
86,2019,2,0.089972,2019-02-01
87,2019,3,0.02135214152700186,2019-03-01
88,2019,4,0.07167690875232774,2019-04-01
89,2019,5,0.09194084249084249,2019-05-01
90,2019,6,0.09309568345323742,2019-06-01
91,2019,7,0.09890802919708029,2019-07-01
92,2019,8,0.11277734082397005,2019-08-01
93,2019,9,0.06170160427807486,2019-09-01
94,2019,10,0.09777266313932981,2019-10-01
95,2019,11,0.026761552028218696,2019-11-01
96,2019,12,0.09829641577060932,2019-12-01
97,2020,1,0.11004612612612613,2020-01-01
98,2020,2,0.06627014134275618,2020-02-01
99,2020,3,0.10289322638146169,2020-03-01
100,2020,4,0.10651277372262774,2020-04-01
101,2020,5,0.10224545454545456,2020-05-01
102,2020,6,0.10187897623400366,2020-06-01
103,2020,7,0.07231340579710145,2020-07-01
104,2020,8,0.08819640287769784,2020-08-01
105,2020,9,0.10328855633802818,2020-09-01
106,2020,10,0.07926818980667838,2020-10-01
107,2020,11,0.12048414414414416,2020-11-01
108,2020,12,0.08607971781305115,2020-12-01
109,2021,1,0.09979459930313589,2021-01-01
110,2021,2,0.1066866184448463,2021-02-01
111,2021,3,0.04855451263537906,2021-03-01
112,2021,4,0.03835719298245614,2021-04-01
113,2021,5,0.08496928838951312,2021-05-01
